Date,total.attendance,First,Second,FirstServe24,SecondServe24
2010-01-02,516,124,392,NA,NA
2010-01-09,587,113,474,NA,NA
2010-01-16,675,164,511,NA,NA
2010-01-23,495,110,385,NA,NA
2010-01-30,564,135,429,NA,NA
2010-02-06,268,30,238,NA,NA
2010-02-13,630,126,504,NA,NA
2010-02-20,536,124,412,NA,NA
2010-02-27,499,104,395,NA,NA
2010-03-06,693,158,535,NA,NA
2010-03-13,434,97,337,NA,NA
2010-03-20,563,139,424,NA,NA
2010-03-27,490,95,395,NA,NA
2010-04-03,697,106,591,NA,NA
2010-04-10,454,84,370,NA,NA
2010-04-17,384,102,282,NA,NA
2010-04-24,503,110,393,NA,NA
2010-05-01,640,152,488,NA,NA
2010-05-08,687,204,483,NA,NA
2010-05-15,576,131,445,NA,NA
2010-05-22,605,127,478,NA,NA
2010-05-29,827,176,651,NA,NA
2010-06-05,600,115,485,NA,NA
2010-06-12,483,138,345,NA,NA
2010-06-19,658,125,533,NA,NA
2010-06-26,345,110,235,NA,NA
2010-07-03,531,76,455,NA,NA
2010-07-10,549,119,430,NA,NA
2010-07-17,497,122,375,NA,NA
2010-07-24,507,102,405,NA,NA
2010-07-31,468,88,380,NA,NA
2010-08-07,454,130,324,NA,NA
2010-08-14,706,132,574,NA,NA
2010-08-21,582,146,436,NA,NA
2010-08-28,598,149,449,NA,NA
2010-09-04,664,168,496,NA,NA
2010-09-11,429,142,287,NA,NA
2010-09-18,563,159,404,NA,NA
2010-09-25,897,161,736,NA,NA
2010-10-02,465,130,335,NA,NA
2010-10-09,579,133,446,NA,NA
2010-10-16,646,141,505,NA,NA
2010-10-23,539,123,416,NA,NA
2010-10-30,668,158,510,NA,NA
2010-11-06,670,125,545,NA,NA
2010-11-13,711,120,591,NA,NA
2010-11-20,747,135,612,NA,NA
2010-11-27,606,151,455,NA,NA
2010-12-04,549,120,429,NA,NA
2010-12-11,658,163,495,NA,NA
2010-12-18,600,100,500,NA,NA
2010-12-25,694,159,535,NA,NA
2011-01-01,564,100,464,NA,NA
2011-01-08,540,115,425,NA,NA
2011-01-15,476,146,330,NA,NA
2011-01-22,556,142,414,NA,NA
2011-01-29,564,190,374,NA,NA
2011-02-05,444,130,314,NA,NA
2011-02-12,604,137,467,NA,NA
2011-02-19,515,116,399,NA,NA
2011-02-26,605,155,450,NA,NA
2011-03-05,814,172,642,NA,NA
2011-03-12,515,134,381,NA,NA
2011-03-19,569,124,445,NA,NA
2011-03-26,635,130,505,NA,NA
2011-04-02,544,100,444,NA,NA
2011-04-09,658,164,494,NA,NA
2011-04-16,408,97,311,NA,NA
2011-04-23,720,180,540,NA,NA
2011-04-30,503,155,348,NA,NA
2011-05-07,643,110,533,NA,NA
2011-05-14,670,114,556,NA,NA
2011-05-21,600,128,472,NA,NA
2011-05-28,621,146,475,NA,NA
2011-06-04,519,116,403,NA,NA
2011-06-11,621,138,483,NA,NA
2011-06-18,502,124,378,NA,NA
2011-06-25,468,160,308,NA,NA
2011-07-02,663,121,542,NA,NA
2011-07-09,492,135,357,NA,NA
2011-07-16,473,113,360,NA,NA
2011-07-23,434,114,320,NA,NA
2011-07-30,390,88,302,NA,NA
2011-08-06,492,123,369,NA,NA
2011-08-13,510,110,400,NA,NA
2011-08-20,621,157,464,NA,NA
2011-08-27,555,135,420,NA,NA
2011-09-03,609,165,444,NA,NA
2011-09-10,618,140,478,NA,NA
2011-09-17,460,139,321,NA,NA
2011-09-24,576,120,456,NA,NA
2011-10-01,550,152,398,NA,NA
2011-10-08,507,125,382,NA,NA
2011-10-15,459,143,316,NA,NA
2011-10-22,349,110,239,NA,NA
2011-10-29,641,166,475,NA,NA
2011-11-05,631,155,476,NA,NA
2011-11-12,600,158,442,NA,NA
2011-11-19,658,187,471,NA,NA
2011-11-26,532,125,407,NA,NA
2011-12-03,677,120,557,NA,NA
2011-12-10,575,152,423,NA,NA
2011-12-17,615,173,442,NA,NA
2011-12-24,704,150,554,NA,NA
2011-12-31,583,133,450,NA,NA
2012-01-07,636,190,446,NA,NA
2012-01-14,627,132,495,NA,NA
2012-01-21,NA,NA,NA,NA,NA
2012-01-28,558,118,440,NA,NA
2012-02-04,610,228,382,NA,NA
2012-02-11,547,110,437,NA,NA
2012-02-18,557,208,349,NA,NA
2012-02-25,674,145,529,NA,NA
2012-03-03,503,115,388,NA,NA
2012-03-10,623,178,445,NA,NA
2012-03-17,676,265,411,NA,NA
2012-03-24,550,190,360,NA,NA
2012-03-31,599,151,448,NA,NA
2012-04-07,566,123,443,NA,NA
2012-04-14,483,150,333,NA,NA
2012-04-21,440,119,321,NA,NA
2012-04-28,475,100,375,NA,NA
2012-05-05,594,145,449,NA,NA
2012-05-12,546,139,407,NA,NA
2012-05-19,553,165,388,NA,NA
2012-05-26,496,120,376,NA,NA
2012-06-02,724,140,584,NA,NA
2012-06-09,552,112,440,NA,NA
2012-06-16,500,125,375,NA,NA
2012-06-23,489,138,351,NA,NA
2012-06-30,543,132,411,NA,NA
2012-07-07,580,176,404,NA,NA
2012-07-14,456,115,341,NA,NA
2012-07-21,530,112,418,NA,NA
2012-07-28,562,108,454,NA,NA
2012-08-04,471,126,345,NA,NA
2012-08-11,437,106,331,NA,NA
2012-08-18,522,134,388,NA,NA
2012-08-25,545,180,365,NA,NA
2012-09-01,719,185,534,NA,NA
2012-09-08,535,166,369,NA,NA
2012-09-15,467,138,329,NA,NA
2012-09-22,504,140,364,NA,NA
2012-09-29,632,137,495,NA,NA
2012-10-06,553,165,388,NA,NA
2012-10-13,477,127,350,NA,NA
